Concepto,Importe,Fecha,"Categoría "
Alquiler + expesas Julio,"ARS 400,000.00",01/07/2026,Hogar
Ahorro,"ARS 300,000.00",01/07/2026,Ahorros
Club Junio,"ARS 80,000.00",01/07/2026,Deporte
Personal Flow INTERNET,"ARS 35,000.00",01/07/2026,Servicios Públicos
"Youtube FP ","ARS 1,500.00",01/07/2026,Suscripciones
Luz,"ARS 60,000.00",01/07/2026,Servicios Públicos
Ubers,"ARS 50,000.00",01/07/2026,Transporte
Tarjeta Naranja,"ARS 120,000.00",01/07/2026,Finanzas y Deudas
Tenis,"ARS 92,000.00",01/07/2026,Deporte
Pago Tarjeta Galicia,"ARS 590,000.00",01/07/2026,Finanzas y Deudas
Tuenti Junio,"ARS 17,000.00",01/07/2026,Servicios Públicos
Gas,"ARS 23,000.00",01/07/2026,Servicios Públicos
Terapia,"ARS 160,000.00",01/07/2026,Salud
Carne,"ARS 45,000.00",01/07/2026,Alimentación
Entrada Gorillaz,"ARS 30,000.00",01/07/2026,Entretenimiento y Salidas a Comer 
Tarjeta BNA,"ARS 77,000.00",01/07/2026,Hogar
Verdura,"ARS 16,000.00",05/06/2026,Alimentación
Carne,"ARS 45,000.00",05/06/2026,Alimentación
Tarjeta BNA,"ARS 77,000.00",05/06/2026,Hogar
Entrada Gorillaz,"ARS 30,000.00",02/06/2026,Entretenimiento y Salidas a Comer 
Agua Junio (1),"ARS 14,000.00",01/06/2026,Servicios Públicos
Compra Super (1),"ARS 160,000.00",01/06/2026,Alimentación
Google (2),"ARS 3,300.00",01/06/2026,Suscripciones
Compra Super,"ARS 160,000.00",01/06/2026,Alimentación
Google (1),"ARS 3,300.00",01/06/2026,Suscripciones
Terapia (1),"ARS 80,000.00",01/06/2026,Salud
Agua Junio,"ARS 14,000.00",01/06/2026,Servicios Públicos
Tuenti Junio,"ARS 17,000.00",01/06/2026,Servicios Públicos
Tenis,"ARS 92,000.00",01/06/2026,Deporte
Pago Tarjeta Galicia,"ARS 378,000.00",01/06/2026,Finanzas y Deudas
Gas,"ARS 23,000.00",01/06/2026,Servicios Públicos
Tarjeta Naranja,"ARS 80,000.00",01/06/2026,Finanzas y Deudas
Luz,"ARS 27,000.00",01/06/2026,Servicios Públicos
Youtube FP,"ARS 1,500.00",01/06/2026,Suscripciones
Ubers (1),"ARS 50,000.00",01/06/2026,Transporte
Club Junio,"ARS 40,000.00",01/06/2026,Deporte
Personal Flow INTERNET (3),"ARS 35,000.00",01/06/2026,Servicios Públicos
Alquiler + expesas Junio,"ARS 400,000.00",01/06/2026,Hogar
Ahorro (1),"ARS 300,000.00",01/06/2026,Ahorros
Dolares Jorge,"ARS 24,000.00",12/05/2026,Viajes
Dolares nacho,"ARS 191,025.00",12/05/2026,Viajes
Bayahibe,"ARS 566,000.00",03/05/2026 ,Viajes
Asado club,"ARS 20,000.00",02/05/2026,Entretenimiento y Salidas a Comer 
Ahorro,"ARS 300,000.00",02/05/2026,Ahorros
Compra Super (3),"ARS 150,000.00",01/05/2026,Alimentación
Alquiler + expesas + aumento contrato,"ARS 470,000.00",01/05/2026,Hogar
Personal Flow INTERNET (2),"ARS 35,000.00",01/05/2026,Servicios Públicos
Club Mayo,"ARS 40,000.00",01/05/2026,Deporte
Ubers,"ARS 50,000.00",01/05/2026,Transporte
cuota 5 entrada acdc (1),"ARS 56,600.00",01/05/2026,Entretenimiento y Salidas a Comer 
Youtube FP (1),"ARS 1,500.00",01/05/2026,Suscripciones
Luz (1),"ARS 27,000.00",01/05/2026,Servicios Públicos
Tarjeta Naranja X (1),"ARS 160,000.00",01/05/2026,Finanzas y Deudas
Gas (1),"ARS 23,000.00",01/05/2026,Servicios Públicos
Pago Tarjeta Galicia + usd (1),"ARS 400,000.00",01/05/2026,Finanzas y Deudas
Tenis (1),"ARS 85,000.00",01/05/2026,Deporte
Tuenti Mayo,"ARS 17,000.00",01/05/2026,Servicios Públicos
Agua Mayo,"ARS 14,000.00",01/05/2026,Servicios Públicos
Terapia,"ARS 200,000.00",01/05/2026,Salud
Google,"ARS 3,300.00",01/05/2026,Suscripciones
OPI 2.0,"ARS 56,000.00",10/04/2026,Educación
"Jodas, amigos, pastas,etc","ARS 80,000.00",10/04/2026,Bolu-Compras
Quiropractico,"ARS 25,000.00",10/04/2026,Salud
FA,"ARS 40,000.00",10/04/2026,Bolu-Compras
Camastro,"ARS 168,000.00",10/04/2026,Hogar
Estadia Viaje ACDC,"ARS 262,000.00",04/04/2026,Viajes
Compra Super (2),"ARS 150,000.00",01/04/2026,Alimentación
Google (1),"ARS 3,300.00",01/04/2026,Suscripciones
Terapia (1),"ARS 144,000.00",01/04/2026,Salud
Agua Abril,"ARS 14,000.00",01/04/2026,Servicios Públicos
Tuenti Abril,"ARS 16,000.00",01/04/2026,Servicios Públicos
"Tenis ","ARS 85,000.00",01/04/2026,Deporte
Pago Tarjeta Galicia + usd,"ARS 574,000.00",01/04/2026,Finanzas y Deudas
Gas,"ARS 23,000.00",01/04/2026,Servicios Públicos
Tarjeta Naranja X,"ARS 140,000.00",01/04/2026,Finanzas y Deudas
Luz,"ARS 27,000.00",01/04/2026,Servicios Públicos
Youtube FP,"ARS 1,500.00",01/04/2026,Suscripciones
cuota 5 entrada acdc,"ARS 56,600.00",01/04/2026,Entretenimiento y Salidas a Comer 
Ubers,"ARS 50,000.00",01/04/2026,Transporte
Club abril,"ARS 40,000.00",01/04/2026,Deporte
Personal Flow INTERNET (1),"ARS 35,000.00",01/04/2026,Servicios Públicos
Alquiler + expesas abril,"ARS 380,000.00",01/04/2026,Hogar
Viaje Buenos Aires ACDC,"ARS 400,000.00",20/03/2026 → 25/03/2026,Viajes
Alquiler + expesas Marzo,"ARS 380,000.00",10/03/2026,Hogar